id,team_api_id,team_long_name,team_short_name
1,9987,Genk,GEN
2,9993,Beerschot AC,BAC
3,10000,Zulte-Waregem,ZUL
4,9994,Lokeren,LOK
5,9984,Cercle Bruges,CEB
6,8635,Anderlecht,AND
7,9991,Gent,GEN
8,9998,Mons,MON
9,7947,FCV Dender EH,DEN
10,9985,Standard Liege,STL
11,8203,KV Mechelen,MEC
12,8342,Club Bruges,CLB
13,9999,Roeselare,ROS
14,8571,Kortrijk,KOR
15,4049,Tubize,TUB
16,9996,Mouscron,MOU
17,10001,Westerlo,WES
18,9986,Sporting Charleroi,CHA
614,9997,St.Truiden,STT
1034,9989,Lierse,LIE
1042,6351,Eupen,EUP
1513,1773,Oud-Heverlee,O-H
2004,8475,Waasland-Beveren,WAA
2476,8573,Oostende,OOS
2510,274581,Mouscron-Peruwelz,MOP
3457,10260,Manchester United,MUN
3458,10261,Newcastle United,NEW
3459,9825,Arsenal,ARS
3460,8659,West Bromwich Albion,WBA
3461,8472,Sunderland,SUN
3462,8650,Liverpool,LIV
3463,8654,West Ham,WHU
3464,8528,Wigan,WIG
3465,10252,Aston Villa,AVL
3466,8456,Manchester City,MCI
3467,8668,Everton,EVE
3468,8655,Blackburn,BLB
3469,8549,Middlesbrough,MID
3470,8586,Tottenham,TOT
3471,8559,Bolton,BOL
3472,10194,Stoke,STK
3473,8667,Hull,HUL
3474,9879,Fulham,FUL
3475,8455,Chelsea,CHE
3476,8462,Portsmouth,POR
4218,8658,Birmingham,BIR
4225,8602,Wolverhampton Wanderers,WOL
4234,8191,Burnley,BUR
4996,8483,Blackpool,BLA
5744,10003,Swansea,SWA
5747,10172,Queens Park Rangers,QPR
5756,9850,Norwich,NOR
6436,8466,Southampton,SOU
6441,9798,Reading,REA
7193,9826,Crystal Palace,CRY
7208,8344,Cardiff,CAR
7953,8197,Leicester,LEI
8711,8678,Bournemouth,BOU
8716,9817,Watford,WAT
9469,8583,Auxerre,AUX
9470,9830,Nantes,NAN
9471,9827,Bordeaux,BOR
9472,7819,Caen,CAE
9473,9746,Le Havre,LEH
9474,9831,Nice,NIC
9475,8682,Le Mans,LEM
9476,8689,Lorient,LOR
9477,9748,Lyon,LYO
9478,9941,Toulouse,TOU
9479,9829,Monaco,MON
9480,9847,Paris Saint Germain,PSG
9481,8481,Nancy,NAN
9482,8639,Lille,LIL
9483,9851,Rennes,REN
9484,8592,Marseille,MAR
9485,9874,Sochaux,SOC
9486,9855,Grenoble,GRE
9487,9873,Valenciennes,VAL
9488,9853,Saint-Etienne,ETI
10232,8588,Lens,LEN
10241,10249,Montpellier,MON
10244,4170,Boulogne,BOU
11006,108893,Arles-Avignon,ARL
11008,8521,Brest,BRE
11749,8576,AC Ajaccio,AJA
11754,4087,Evian Thonon Gaillard,ETG
11757,9836,Dijon,DIJ
12519,9837,Reims,REI
12526,7794,SC Bastia,BAS
12527,10242,Troyes,TRO
13275,9747,Guingamp,GUI
14038,8550,Metz,MET
14800,8121,Angers,ANG
14808,6391,GFC Ajaccio,GAJ
15549,9823,Bayern Munich,BMU
15550,9790,Hamburger SV,HAM
15551,8178,Bayer Leverkusen,LEV
15552,9789,Borussia Dortmund,DOR
15553,10189,Schalke 04,S04
15554,9904,Hannover 96,HAN
15555,8721,Wolfsburg,WOL
15556,8722,FC Cologne,FCK
15557,9810,Eintracht Frankfurt,EFR
15558,8177,Hertha Berlin,HBE
